# Constructed from biom file
#OTU ID	N1.1	N1.2	N1.3	N1.4	N1.5	N2.1	N2.2	N3.1	N3.2	N3.3	N4.1	N4.2	N4.3	N4.4	N5.1	N5.2	N5.3	N5.4	N6.1	N6.2	N6.3	N6.4	N7.1	N7.2	N8.1	N8.2	N8.3	N8.4	C1	C2	C3	C4	taxonomy
ASV_1	1522.0	654.0	1612.0	1052.0	1185.0	1395.0	1123.0	1585.0	654.0	1218.0	872.0	650.0	907.0	463.0	1180.0	549.0	762.0	1549.0	929.0	127.0	927.0	562.0	877.0	798.0	795.0	554.0	943.0	932.0	1019.0	363.0	965.0	856.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_2	351.0	1243.0	902.0	356.0	600.0	1060.0	524.0	751.0	327.0	611.0	624.0	326.0	599.0	799.0	966.0	926.0	1110.0	1700.0	1088.0	361.0	1227.0	1777.0	1428.0	896.0	983.0	975.0	910.0	1662.0	590.0	485.0	828.0	710.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella_muris
ASV_3	316.0	1259.0	810.0	269.0	517.0	1043.0	498.0	734.0	307.0	595.0	644.0	329.0	529.0	731.0	891.0	839.0	1005.0	1688.0	1043.0	368.0	1030.0	1558.0	1531.0	884.0	889.0	1053.0	833.0	1528.0	636.0	441.0	741.0	668.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella_muris
ASV_4	593.0	655.0	464.0	597.0	488.0	499.0	306.0	643.0	305.0	828.0	736.0	624.0	745.0	898.0	410.0	593.0	778.0	993.0	468.0	663.0	1043.0	681.0	1018.0	707.0	481.0	711.0	753.0	671.0	578.0	314.0	556.0	543.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_5	569.0	547.0	439.0	521.0	466.0	406.0	282.0	622.0	252.0	820.0	664.0	555.0	661.0	781.0	375.0	622.0	728.0	1023.0	440.0	538.0	994.0	682.0	998.0	715.0	437.0	640.0	787.0	646.0	550.0	231.0	467.0	439.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_6	410.0	1267.0	612.0	922.0	691.0	235.0	346.0	176.0	178.0	579.0	865.0	589.0	379.0	362.0	495.0	786.0	211.0	235.0	769.0	425.0	1187.0	1337.0	718.0	350.0	351.0	883.0	350.0	476.0	349.0	321.0	456.0	403.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_acidifaciens
ASV_7	674.0	487.0	403.0	264.0	519.0	468.0	540.0	313.0	539.0	211.0	461.0	203.0	1245.0	778.0	539.0	851.0	997.0	70.0	736.0	1299.0	474.0	86.0	280.0	404.0	150.0	640.0	436.0	269.0	436.0	890.0	332.0	328.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_dispar
ASV_8	746.0	455.0	866.0	566.0	636.0	651.0	537.0	771.0	348.0	650.0	566.0	352.0	485.0	252.0	606.0	268.0	367.0	839.0	441.0	54.0	490.0	281.0	568.0	418.0	408.0	293.0	505.0	481.0	511.0	244.0	462.0	443.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_9	664.0	413.0	755.0	475.0	569.0	658.0	514.0	738.0	274.0	637.0	471.0	350.0	421.0	245.0	549.0	248.0	325.0	765.0	433.0	61.0	440.0	265.0	551.0	492.0	428.0	302.0	529.0	441.0	499.0	221.0	432.0	393.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_10	26.0	97.0	5.0	1456.0	62.0	615.0	1717.0	71.0	4548.0	19.0	85.0	982.0	526.0	64.0	122.0	716.0	18.0	6.0	84.0	13.0	215.0	4.0	127.0	1598.0	176.0	70.0	151.0	8.0	41.0	254.0	83.0	105.0	k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Mucispirillaceae; g__Mucispirillum; s__Mucispirillum_schaedleri
